skuid,skuPartNumber,skuDisplayName
bd09678e-b83c-4d3f-aaba-3dad4abd128b,LITEPACK,OFFICE 365 SMALL BUSINESS
fc14ec4a-4169-49a4-a51e-2c852931814b,LITEPACK_P2,OFFICE 365 SMALL BUSINESS PREMIUM
4ae93e69-85d1-4d0f-a6f7-fc0bc62f44ef,LOCKBOX,Customer Lockbox
9f431833-0334-42de-a7dc-70aa40db46db,LOCKBOX_ENTERPRISE,LOCKBOX_ENTERPRISE
e43b5b99-8dfb-405f-9987-dc307f34bcbd,MCOEV,Phone System
b8b749f8-a4ef-4887-9539-c95b1eaa5db7,MCOIMP,SKYPE FOR BUSINESS ONLINE (PLAN 1)
,MCOLITE,Lync Online (Plan 1)
,MCOMEETACPEA,Audio Conferencing Pay-Per-Minute
0c266dff-15dd-4b49-8397-2bb16070ed52,MCOMEETADV,AUDIO CONFERENCING
0dab259f-bf13-4952-b7f8-7db8f131b28d,MCOPSTN1,SKYPE FOR BUSINESS PSTN DOMESTIC CALLING
d3b4fe1f-9992-4930-8acb-ca6ec609365e,MCOPSTN2,SKYPE FOR BUSINESS PSTN DOMESTIC AND INTERNATIONAL CALLING
54a152dc-90de-4996-93d2-bc47e670fc06,MCOPSTN5,SKYPE FOR BUSINESS PSTN DOMESTIC CALLING	(120 Minutes)
,MCOPSTNC,Communication Credits
d42c793f-6c78-4f43-92ca-e8f6a02b035f,MCOSTANDARD,SKYPE FOR BUSINESS ONLINE (PLAN 2)
,MCOSTANDARD_GOV,Lync Plan 2G
,MCOSTANDARD_MIDMARKET,Lync Online (Plan 1)
27216c54-caf8-4d0d-97e2-517afb5c08f6,MCOVOICECONF,SKYPE FOR BUSINESS ONLINE (PLAN 3)
3413916e-ee66-4071-be30-6f94d4adfeda,MDM_SALES_COLLABORATION,MICROSOFT DYNAMICS MARKETING SALES COLLABORATION - ELIGIBILITY CRITERIA APPLY
,MFA_PREMIUM,Azure Multi-Factor Authentication
726a0894-2c77-4d65-99da-9775ef05aad1,MICROSOFT_BUSINESS_CENTER,MICROSOFT_BUSINESS_CENTER
94065c59-bc8e-4e8b-89e5-5138d471eaff,MICROSOFT_SEARCH,Microsoft Search
199a5c09-e0ca-4e37-8f7c-b05d533e1ea2,MICROSOFTBOOKINGS,MICROSOFTBOOKINGS
04a7fb0d-32e0-4241-b4f5-3f7618cd1162,MIDSIZEPACK,OFFICE 365 MIDSIZE BUSINESS
5136a095-5cf0-4aff-bec3-e84448b38ea5,MIP_S_CLP1,Information Protection for Office 365 - Standard
efb0351d-3b08-4503-993d-383af8de41e3,MIP_S_CLP2,Information Protection for Office 365 - Premium
74fbf1bb-47c6-4796-9623-77dc7371723b,MS_TEAMS_IW,Microsoft Teams Trial
33c4f319-9bdd-48d6-9c4d-410b750a4a5a,MYANALYTICS_P2,Insights by MyAnalytics
03acaee3-9492-4f40-aed4-bcb6b32981b6,NBENTERPRISE,SHAREPOINT ONLINE (PLAN 2)
3e58e97c-9abe-ebab-cd5f-d543d1529634,NBPROFESSIONALFORCRM,MICROSOFT SOCIAL ENGAGEMENT PROFESSIONAL - ELIGIBILITY CRITERIA APPLY
cdd28e44-67e3-425e-be4c-737fab2899d3,O365_BUSINESS,OFFICE 365 BUSINESS
3b555118-da6a-4418-894f-7df1e2096870,O365_BUSINESS_ESSENTIALS,OFFICE 365 BUSINESS ESSENTIALS
f245ecc8-75af-4f8e-b61f-27d8114de5f3,O365_BUSINESS_PREMIUM,OFFICE 365 BUSINESS PREMIUM
5bfe124c-bbdc-4494-8835-f1297d457d79,O365_SB_Relationship_Management,OUTLOOK CUSTOMER MANAGER
094e7854-93fc-4d55-b2c0-3ab5369ebdc1,OFFICE_BUSINESS,OFFICE 365 BUSINESS
,OFFICE_PRO_PLUS_SUBSCRIPTION_SMBIZ,Office ProPlus
84951599-62b7-46f3-9c9d-30551b2ad607,OFFICE365_MULTIGEO,Multi-Geo Capabilities in Office 365
c63d4d19-e8cb-460e-b37c-4d6c34603745,OFFICEMOBILE_SUBSCRIPTION,OFFICEMOBILE_SUBSCRIPTION
c2273bd0-dff7-4215-9ef5-2c7bcfb06425,OFFICESUBSCRIPTION,OFFICE 365 PROPLUS
,OFFICESUBSCRIPTION_GOV,Office ProPlus
,OFFICESUBSCRIPTION_STUDENT,Office ProPlus Student Benefit
da792a53-cbc0-4184-a10d-e544dd34b3c1,ONEDRIVE_BASIC,ONEDRIVE_BASIC
afcafa6a-d966-4462-918c-ec0b4e0fe642,ONEDRIVEENTERPRISE,ONEDRIVEENTERPRISE
13696edf-5a08-49f6-8134-03083ed8ba30,ONEDRIVESTANDARD,ONEDRIVESTANDARD
b1188c4c-1b36-4018-b48b-ee07604f6feb,PAM_ENTERPRISE,Office 365 Privileged Access Management
,PLANNERSTANDALONE,Planner Standalone
